"Ternio
(TERN)";"0.059726
USD"
"Envion
(EVN)";"0.119107
USD"
"True Chain
(TRUE)";"0.812248
USD"
"Aeon
(AEON)";"1.26
USD"
"LinkEye
(LET)";"0.020129
USD"
"Tao
(XTO)";"0.686004
USD"
"Pillar
(PLR)";"0.136985
USD"
"Crypterium
(CRPT)";"0.377025
USD"
"GINcoin
(GIN)";"7.67
USD"
"Holo
(HOT)";"0.000367
USD"
"Veritaseum
(VERI)";"47.03
USD"
"WhiteCoin
(XWC)";"0.103141
USD"
"Matrix AI Network
(MAN)";"0.423624
USD"
"STK
(STK)";"0.030306
USD"
"DATA
(DTA)";"0.005962
USD"
"iExec RLC
(RLC)";"0.682607
USD"
"Bitcoin
(BTC)";"6245.82
USD"
"Gifto
(GTO)";"0.152899
USD"
"Etherparty
(FUEL)";"0.032417
USD"
"Siacoin
(SC)";"0.010128
USD"
"Syscoin
(SYS)";"0.142106
USD"
"Gnosis
(GNO)";"39.75
USD"
"Rialto
(XRL)";"0.149140
USD"
"Bytecoin
(BCN)";"0.002833
USD"
"Nebulas
(NAS)";"3.10
USD"
"Monero
(XMR)";"121.85
USD"
"Humaniq
(HMQ)";"0.058797
USD"
"VIBE
(VIBE)";"0.070068
USD"
"YEE
(YEE)";"0.012228
USD"
"Propy
(PRO)";"0.491877
USD"
"Bitcore
(BTX)";"1.54
USD"
"Apex
(CPX)";"0.063232
USD"
"Polybius
(PLBT)";"3.15
USD"
"Modum
(MOD)";"0.942972
USD"
"FuzeX
(FXT)";"0.025650
USD"
"Delphy
(DPY)";"0.490200
USD"
"CRYPTO20
(C20)";"0.874389
USD"
"CyberVein
(CVT)";"0.051691
USD"
"Dropil
(DROP)";"0.005271
USD"
"Nexus
(NXS)";"1.31
USD"
"Nectar
(NEC)";"0.356877
USD"
"BnkToTheFuture
(BFT)";"0.075538
USD"
"Sakura Bloom
(SKB)";"0.012785
USD"
"High Performance Blockchain
(HPB)";"1.86
USD"
"XinFin Network
(XDCE)";"0.003591
USD"
"CashBet Coin
(CBC)";"0.125471
USD"
"HTMLCOIN
(HTML)";"0.000226
USD"
"PACcoin
($PAC)";"0.003809
USD"
"Steem
(STEEM)";"1.30
USD"
"Ark
(ARK)";"1.24
USD"
"Oyster
(PRL)";"0.133953
USD"
22"IOST
(IOST)";"0.020057
USD"
"DATx
(DATX)";"0.010190
USD"
USD"
"Karma
(KRM)";"0.006088
USD"
"AirSwap
(AST)";"0.136715
USD"
"MOAC
(MOAC)";"2.94
USD"
"DigitalNote
(XDN)";"0.005111
USD"
"MARK.SPACE
(MRK)";"0.037190
USD"
"ODEM
(ODE)";"0.339071
USD"
"eosDAC
(EOSDAC)";"0.049050
USD"
"Pepe Cash
(PEPECASH)";"0.017184
USD"
"Edgeless
(EDG)";"0.303754
USD"
"LGO Exchange
(LGO)";"0.227558
USD"
"Sentinel
(SENT)";"0.006198
USD"
"Dash
(DASH)";"219.90
USD"
"CEEK VR
(CEEK)";"0.037946
USD"
"Dogecoin
(DOGE)";"0.002310
USD"
"AppCoins
(APPC)";"0.185764
USD"
"DADI
(DADI)";"0.121276
USD"
"Mobius
(MOBI)";"0.045694
USD"
"Blox
(CDT)";"0.022288
USD"
"Scry.info
(DDD)";"0.216896
USD"
"Iconomi
(ICN)";"0.543584
USD"
"Phore
(PHR)";"1.13
USD"
"TaTaTu
(TTU)";"0.491160
USD"
"Noah Coin
(NOAH)";"0.002486
USD"
"TaaS
(TAAS)";"1.71
USD"
"Basic Attention Token
(BAT)";"0.325509
USD"
"MonaCoin
(MONA)";"2.10
USD"
"Rate3
(RTE)";"0.022419
USD"
"Aion
(AION)";"0.905609
USD"
"Ambrosus
(AMB)";"0.271031
USD"
"TomoChain
(TOMO)";"0.361498
USD"
"SpankChain
(SPANK)";"0.073760
USD"
"Zilliqa
(ZIL)";"0.066425
USD"
"Paypex
(PAYX)";"1.36
USD"
"Smartlands
(SLT)";"1.98
USD"
"Ignis
(IGNIS)";"0.056868
USD"
"BitBay
(BAY)";"0.025132
USD"
"Ethereum
(ETH)";"433.49
USD"
"Triggers
(TRIG)";"0.350395
USD"
"COSS
(COSS)";"0.090563
USD"
"SingularDTV
(SNGLS)";"0.034123
USD"
"Steem Dollars
(SBD)";"1.08
USD"
"Blocknet
(BLOCK)";"11.10
USD"
"Power Ledger
(POWR)";"0.281365
USD"
"IoTeX
(IOTX)";"0.023953
USD"
"HempCoin
(THC)";"0.054291
USD"
"Tokenomy
(TEN)";"0.216523
USD"
"MediBloc [QRC20]
(MED)";"0.004358
USD"
"BlockMason Credit Protocol
(BCPT)";"0.162514
USD"
"Mothership
(MSP)";"0.130715
USD"
"POA Network
(POA)";"0.157749
USD"
"OneRoot Network
(RNT)";"0.070656
USD"
"Waltonchain
(WTC)";"6.37
USD"
"Merculet
(MVP)";"0.009903
USD"
"Storm
(STORM)";"0.015906
USD"
"bitCNY
(BITCNY)";"0.156598
USD"
"Decision Token
(HST)";"0.484404
USD"
"SmartMesh
(SMT)";"0.032981
USD"
"Enigma
(ENG)";"1.09
USD"
"ReddCoin
(RDD)";"0.004206
USD"
"Ethereum Classic
(ETC)";"16.26
USD"
"ProChain
(PRA)";"0.192822
USD"
"Experience Points
(XP)";"0.000058
USD"
"Verge
(XVG)";"0.021700
USD"
"BABB
(BAX)";"0.000936
USD"
"Bitcoin Private
(BTCP)";"7.78
USD"
"Vertcoin
(VTC)";"0.876908
USD"
"Peercoin
(PPC)";"1.48
USD"
"IoT Chain
(ITC)";"0.393162
USD"
"NANJCOIN
(NANJ)";"0.001135
USD"
"Constellation
(DAG)";"0.016815
USD"
"Ontology
(ONT)";"3.33
USD"
"Streamr DATAcoin
(DATA)";"0.063176
USD"
"DAEX
(DAX)";"0.067583
USD"
"FairCoin
(FAIR)";"0.312506
USD"
"SHIELD
(XSH)";"0.021726
USD"
"Ormeus Coin
(ORME)";"0.622948
USD"
"Cobinhood
(COB)";"0.053438
USD"
"Revain
(R)";"0.310808
USD"
"Primas
(PST)";"0.254959
USD"
"QASH
(QASH)";"0.259596
USD"
"DECENT
(DCT)";"0.243462
USD"
"Ink
(INK)";"0.058322
USD"
"BrahmaOS
(BRM)";"0.019295
USD"
"ION
(ION)";"0.835478
USD"
"Bancor
(BNT)";"2.04
USD"
"Trade Token
(TIO)";"0.351702
USD"
"Bread
(BRD)";"0.385324
USD"
"LBRY Credits
(LBC)";"0.100618
USD"
"Mixin
(XIN)";"538.93
USD"
"United Traders Token
(UTT)";"0.395195
USD"
"Bitcoin Green
(BITG)";"2.28
USD"
"XRP
(XRP)";"0.436318
USD"
"Bibox Token
(BIX)";"0.678328
USD"
"IHT Real Estate Protocol
(IHT)";"0.058537
USD"
"Lunyr
(LUN)";"6.73
USD"
"Nucleus Vision
(NCASH)";"0.011956
USD"
"Electroneum
(ETN)";"0.010737
USD"
"Neurotoken
(NTK)";"0.116940
USD"
"Achain
(ACT)";"0.084020
USD"
"MaidSafeCoin
(MAID)";"0.352751
USD"
"Namecoin
(NMC)";"1.35
USD"
"Kyber Network
(KNC)";"0.885764
USD"
"Groestlcoin
(GRS)";"0.552052
USD"
"BOScoin
(BOS)";"0.081156
USD"
"Peerplays
(PPY)";"3.08
USD"
"NEM
(XEM)";"0.158709
USD"
"Hydro
(HYDRO)";"0.007675
USD"
"Augur
(REP)";"28.08
USD"
"SwftCoin
(SWFTC)";"0.006016
USD"
"Bloom
(BLT)";"0.208136
USD"
"THEKEY
(TKY)";"0.009021
USD"
"MinexCoin
(MNX)";"6.36
USD"
"ICON
(ICX)";"1.30
USD"
"INS Ecosystem
(INS)";"0.546723
USD"
"SelfSell
(SSC)";"0.027273
USD"
"Unikoin Gold
(UKG)";"0.078737
USD"
"Factom
(FCT)";"10.37
USD"
"Fusion
(FSN)";"1.95
USD"
"Pura
(PURA)";"0.073764
USD"
"QLINK
(QLC)";"0.051385
USD"
"Endor Protocol
(EDR)";"0.051266
USD"
"Universa
(UTNP)";"0.011048
USD"
"Fortuna
(FOTA)";"0.028420
USD"
"GoChain
(GO)";"0.067331
USD"
"Telcoin
(TEL)";"0.000998
USD"
"Kin
(KIN)";"0.000137
USD"
"Linda
(LINDA)";"0.001881
USD"
"Counterparty
(XCP)";"6.80
USD"
"MediBloc [ERC20]
(MEDX)";"0.005501
USD"
"Crowd Machine
(CMCT)";"0.020288
USD"
"Golem
(GNT)";"0.280581
USD"
"WaykiChain
(WICC)";"0.395577
USD"
"Odyssey
(OCN)";"0.006074
USD"
"MediShares
(MDS)";"0.051736
USD"
"Maecenas
(ART)";"0.392893
USD"
"GridCoin
(GRC)";"0.024368
USD"
"Particl
(PART)";"4.57
USD"
"APIS
(APIS)";"0.004441
USD"
"TrueUSD
(TUSD)";"1.00
USD"
"Huobi Token
(HT)";"3.18
USD"
"FunFair
(FUN)";"0.023441
USD"
"Raiden Network Token
(RDN)";"0.730673
USD"
"CasinoCoin
(CSC)";"0.000377
USD"
"Quantstamp
(QSP)";"0.063014
USD"
"Internet Node Token
(INT)";"0.079328
USD"
"LoyalCoin
(LYL)";"0.004428
USD"
"Einsteinium
(EMC2)";"0.115858
USD"
"Boolberry
(BBR)";"0.841550
USD"
"Zeepin
(ZPT)";"0.032798
USD"
"Bismuth
(BIS)";"0.943090
USD"
"Nano
(NANO)";"2.29
USD"
"Burst
(BURST)";"0.013591
USD"
"Bitcoin Cash
(BCH)";"694.30
USD"
"Cindicator
(CND)";"0.029494
USD"
"Eximchain
(EXC)";"0.301530
USD"
"Viberate
(VIB)";"0.071747
USD"
"Polymath
(POLY)";"0.317379
USD"
"LIFE
(LIFE)";"0.000125
USD"
"Blackmoon
(BMC)";"0.601634
USD"
"BLOCKv
(VEE)";"0.016877
USD"

"Civic
(CVC)";"0.167695
USD"
"Elastic
(XEL)";"0.128062
USD"
"Ethos
(ETHOS)";"1.32
USD"
"CPChain
(CPC)";"0.061511
USD"
"SophiaTX
(SPHTX)";"0.162212
USD"
"IXT
(IXT)";"0.406173
USD"
"RChain
(RHOC)";"0.642306
USD"
"LATOKEN
(LA)";"0.112056
USD"
"Safe Exchange Coin
(SAFEX)";"0.024062
USD"
"Cofound.it
(CFI)";"0.032266
USD"
"Bankex
(BKX)";"0.182472
USD"
"Distributed Credit Chain
(DCC)";"0.026841
USD"
"Feathercoin
(FTC)";"0.078265
USD"
"Nexty
(NTY)";"0.000437
USD"
"BridgeCoin
(BCO)";"1.06
USD"
"Cortex
(CTXC)";"0.530827
USD"
"Skycoin
(SKY)";"6.87
USD"
"Numeraire
(NMR)";"7.02
USD"
"Stox
(STX)";"0.340897
USD"
"PRIZM
(PZM)";"1.07
USD"
"Komodo
(KMD)";"1.48
USD"
"SaluS
(SLS)";"21.31
USD"
"Loom Network
(LOOM)";"0.186301
USD"
"ETHLend
(LEND)";"0.024351
USD"
"Bitcoin Diamond
(BCD)";"1.97
USD"
"Dai
(DAI)";"0.991242
USD"
"MobileGo
(MGO)";"0.197426
USD"
"Eidoo
(EDO)";"0.859529
USD"
"DeepOnion
(ONION)";"0.627311
USD"
"DecentBet
(DBET)";"0.094475
USD"
"Aragon
(ANT)";"1.50
USD"
"ZenCash
(ZEN)";"20.16
USD"
"district0x
(DNT)";"0.033809
USD"
"EOS
(EOS)";"6.92
USD"
"Tezos
(XTZ)";"1.96
USD"
"Qbao
(QBT)";"0.184589
USD"
"Bitcoin Interest
(BCI)";"1.82
USD"
"TokenPay
(TPAY)";"3.70
USD"
"FirstBlood
(1ST)";"0.148374
USD"
"CloakCoin
(CLOAK)";"3.42
USD"
"bitUSD
(BITUSD)";"1.04
USD"
"Decred
(DCR)";"56.79
USD"
"WePower
(WPR)";"0.037905
USD"
"Selfkey
(KEY)";"0.012529
USD"
"MCO
(MCO)";"6.38
USD"
"Ivy
(IVY)";"0.045479
USD"
"Lisk
(LSK)";"4.89
USD"
"Mithril
(MITH)";"0.535559
USD"
"Ubiq
(UBQ)";"0.919049
USD"
"Chronobank
(TIME)";"12.75
USD"
"DeepBrain Chain
(DBC)";"0.033899
USD"
"Stratis
(STRAT)";"2.30
USD"
"Centrality
(CENNZ)";"0.100208
USD"
"Decentraland
(MANA)";"0.091814
USD"
"Bluzelle
(BLZ)";"0.249826
USD"
"ChainLink
(LINK)";"0.195734
USD"
"Santiment Network Token
(SAN)";"0.884077
USD"
"Moeda Loyalty Points
(MDA)";"0.482117
USD"
"Waves
(WAVES)";"2.69
USD"
"Soarcoin
(SOAR)";"0.014281
USD"
"Aston
(ATX)";"0.043281
USD"
"TrustNote
(TTT)";"0.044439
USD"
"PotCoin
(POT)";"0.047515
USD"
"Dragonchain
(DRGN)";"0.261388
USD"
"TokenClub
(TCT)";"0.033009
USD"
"OST
(OST)";"0.060127
USD"
"UTRUST
(UTK)";"0.075303
USD"
"GXChain
(GXS)";"2.56
USD"
"Mainframe
(MFT)";"0.015316
USD"

"Unobtanium
(UNO)";"144.15
USD"
"Red Pulse
(RPX)";"0.032792
USD"
"Credo
(CREDO)";"0.034376
USD"
"Bytom
(BTM)";"0.290036
USD"
"Emercoin
(EMC)";"2.66
USD"
"NavCoin
(NAV)";"0.398634
USD"
"XTRABYTES
(XBY)";"0.028358
USD"
"Metaverse ETP
(ETP)";"1.42
USD"
"Medicalchain
(MTN)";"0.052981
USD"
"Metal
(MTL)";"1.17
USD"
"Docademic
(MTC)";"0.195351
USD"
"Elastos
(ELA)";"15.92
USD"
"Hydro Protocol
(HOT)";"0.028814
USD"
"Gulden
(NLG)";"0.057013
USD"
"Bezant
(BZNT)";"0.052550
USD"
"VeChain
(VEN)";"1.89
USD"
"ZClassic
(ZCL)";"7.60
USD"
"Aurora DAO
(AURA)";"0.131357
USD"
"Electrify.Asia
(ELEC)";"0.025274
USD"
"XMax
(XMX)";"0.002105
USD"
"Lympo
(LYM)";"0.025834
USD"
"Storj
(STORJ)";"0.420928
USD"
"PIVX
(PIVX)";"1.75
USD"
"Wings
(WINGS)";"0.187318
USD"
"LEOcoin
(LEO)";"0.139754
USD"
"BitShares
(BTS)";"0.158422
USD"
"KickCoin
(KICK)";"0.060251
USD"
"Bytecoin
(BCN)";"0.002833
USD"
"DigixDAO
(DGD)";"89.63
USD"
"Asch
(XAS)";"0.402551
USD"
"Holo
(HOT)";"0.000367
USD"
"LUXCoin
(LUX)";"4.44
USD"
"Byteball Bytes
(GBYTE)";"121.67
USD"
"Veritaseum
(VERI)";"47.03
USD"
"Status
(SNT)";"0.065182
USD"
"Time New Bank
(TNB)";"0.019225
USD"
"Mercury
(MER)";"0.114885
USD"
"Banca
(BANCA)";"0.000841
USD"
"Pascal Coin
(PASC)";"0.435066
USD"
"Spectre.ai Dividend Token
(SXDT)";"0.204901
USD"
"Dock
(DOCK)";"0.039652
USD"
"iExec RLC
(RLC)";"0.682607
USD"
"TE-FOOD
(TFD)";"0.027630
USD"
"Po.et
(POE)";"0.015379
USD"
"Game.com
(GTC)";"0.089558
USD"
"ColossusXT
(COLX)";"0.000944
USD"
"Cryptaur
(CPT)";"0.002980
USD"
"Matrix AI Network
(MAN)";"0.423624
USD"
"ATN
(ATN)";"0.253543
USD"
"Havven
(HAV)";"0.251140
USD"
"Jibrel Network
(JNT)";"0.145114
USD"
"Litecoin
(LTC)";"76.56
USD"
"EDUCare
(EKT)";"0.073605
USD"
"Ardor
(ARDR)";"0.145969
USD"
"ECC
(ECC)";"0.000501
USD"
"Rock
(RKT)";"0.065894
USD"
"KuCoin Shares
(KCS)";"3.22
USD"
"GameCredits
(GAME)";"0.435013
USD"
"Covesting
(COV)";"1.08
USD"
"NKN
(NKN)";"0.170188
USD"
"Gnosis
(GNO)";"39.75
USD"
"U Network
(UUU)";"0.002065
USD"
"Quantum
(QAU)";"0.137441
USD"
"AICHAIN
(AIT)";"0.022255
USD"
"DigiByte
(DGB)";"0.034345
USD"
"Neblio
(NEBL)";"3.85
USD"
"Dogecoin
(DOGE)";"0.002310
USD"
"Ruff
(RUFF)";"0.044320
USD"
"Crypterium
(CRPT)";"0.376961
USD"
"WAX
(WAX)";"0.114239
USD"
"BlackCoin
(BLK)";"0.119333
USD"
"Tao
(XTO)";"0.686004
USD"
"TenX
(PAY)";"0.761524
USD"
"Swarm
(SWM)";"0.245305
USD"
"Theta Token
(THETA)";"0.123302
USD"
"0chain
(ZCN)";"0.436877
USD"
"Ripio Credit Network
(RCN)";"0.041029
USD"
"Neumark
(NEU)";"0.384986
USD"
"All Sports
(SOC)";"0.041951
USD"
"Shift
(SHIFT)";"0.940920
USD"
"PayPie
(PPP)";"0.226871
USD"
"Hive Project
(HVN)";"0.037653
USD"
"Genaro Network
(GNX)";"0.134593
USD"
"Electra
(ECA)";"0.001056
USD"
"Ternio
(TERN)";"0.059726
USD"
"NEO
(NEO)";"32.17
USD"
"SingularityNET
(AGI)";"0.102697
USD"
"OmiseGO
(OMG)";"6.76
USD"
"DEW
(DEW)";"0.368354
USD"
"aelf
(ELF)";"0.567682
USD"
"Nuls
(NULS)";"2.44
USD"
"Presearch
(PRE)";"0.108454
USD"
"AdEx
(ADX)";"0.351390
USD"
"Datum
(DAT)";"0.015648
USD"
"Primecoin
(XPM)";"1.23
USD"
"Synereo
(AMP)";"0.109082
USD"
"Dynamic Trading Rights
(DTR)";"0.032841
USD"
"Aeternity
(AE)";"1.68
USD"
"NAGA
(NGC)";"0.275850
USD"
"Melon
(MLN)";"22.12
USD"
"Arcblock
(ABT)";"0.408917
USD"
"0x
(ZRX)";"0.943552
USD"
"BnkToTheFuture
(BFT)";"0.075538
USD"
"IOST
(IOST)";"0.020057
USD"
"Bitcoin
(BTC)";"6245.82
USD"
"RevolutionVR
(RVR)";"0.043258
USD"
"SmartCash
(SMART)";"0.073900
USD"
"CyberMiles
(CMT)";"0.136471
USD"
"Ravencoin
(RVN)";"0.014171
USD"
"PCHAIN
(PAI)";"0.048257
USD"
"Populous
(PPT)";"6.11
USD"
"Cryptonex
(CNX)";"2.17
USD"
"Substratum
(SUB)";"0.200487
USD"
"WaBi
(WABI)";"0.331426
USD"
"Rialto
(XRL)";"0.149231
USD"
"Request Network
(REQ)";"0.064721
USD"
"MedicCoin
(MEDIC)";"0.049423
USD"
"SureRemit
(RMT)";"0.018622
USD"
"Tierion
(TNT)";"0.039075
USD"
"OracleChain
(OCT)";"0.503764
USD"
"CyberVein
(CVT)";"0.051682
USD"
"Aeon
(AEON)";"1.26
USD"
"High Performance Blockchain
(HPB)";"1.86
USD"
"DADI
(DADI)";"0.121276
USD"
"CoinPoker
(CHP)";"0.026181
USD"
"Cashaa
(CAS)";"0.027969
USD"
"SALT
(SALT)";"1.01
USD"
"adToken
(ADT)";"0.013919
USD""A"Monetha
(MTH)";"0.036929
USD"
D"
"NoLimitCoin
(NLC2)";"0.034564
USD"
"Loopring
(LRC)";"0.255119
USD"
"Pundi X
(NPXS)";"0.003304
USD"
"Genesis Vision
(GVT)";"7.46
USD"
"Bottos
(BTO)";"0.086841
USD"
"OriginTrail
(TRAC)";"0.093674
USD"
"Nexo
(NEXO)";"0.091511
USD"
"Nectar
(NEC)";"0.356983
USD"


"Incent
(INCNT)";"0.210786
USD"
"Gas
(GAS)";"10.53
USD"
"SONM
(SNM)";"0.111978
USD"
"Waltonchain
(WTC)";"6.36
USD"
"Litecoin Cash
(LCC)";"0.039126
USD"
"ZrCoin
(ZRC)";"1.59
USD"
"Nebula AI
(NBAI)";"0.005016
USD"
"Pillar
(PLR)";"0.137099
USD"
"Energo
(TSL)";"0.010325
USD"
"Gifto
(GTO)";"0.153249
USD"
"DomRaider
(DRT)";"0.009303
USD"
"ZCoin
(XZC)";"15.87
USD"
"ShipChain
(SHIP)";"0.027848
USD"
"FuzeX
(FXT)";"0.025650
USD"
"YOYOW
(YOYOW)";"0.051341
USD"
"QunQun
(QUN)";"0.013704
USD"
"QuarkChain
(QKC)";"0.067633
USD"
"Stealth
(XST)";"0.170257
USD"
"DATA
(DTA)";"0.005965
USD"
"True Chain
(TRUE)";"0.811433
USD"
"Unibright
(UBT)";"0.035668
USD"
"Nebulas
(NAS)";"3.10
USD"
"Spectrecoin
(XSPEC)";"0.220027
USD"
"Monero
(XMR)";"121.85
USD"
"Zeusshield
(ZSC)";"0.009532
USD"
"Nimiq Exchange Token
(NET)";"0.388740
USD"
"PinkCoin
(PINK)";"0.011247
USD"
"WhiteCoin
(XWC)";"0.103141
USD"
"Etherparty
(FUEL)";"0.032417
USD"
"Envion
(EVN)";"0.119047
USD"
"Maker
(MKR)";"558.13
USD"
"Zcash
(ZEC)";"176.13
USD"
"CanYaCoin
(CAN)";"0.093552
USD"
"TaTaTu
(TTU)";"0.491160
USD"
"Dent
(DENT)";"0.003768
USD"
"Aion
(AION)";"0.905609
USD"
"Zilliqa
(ZIL)";"0.066404
USD"
"Diamond
(DMD)";"3.12
USD"
"Sentinel Chain
(SENC)";"0.019185
USD"
"Wanchain
(WAN)";"1.98
USD"
"Quantum Resistant Ledger
(QRL)";"0.401997
USD"
"GINcoin
(GIN)";"7.66
USD"
"Dentacoin
(DCN)";"0.000326
USD"
"Syscoin
(SYS)";"0.142106
USD"
"MktCoin
(MLM)";"0.003056
USD"
"1World
(1WO)";"0.164256
USD"
"Paypex
(PAYX)";"1.36
USD"
"HTMLCOIN
(HTML)";"0.000226
USD"
"Oyster
(PRL)";"0.133953
USD"
"YEE
(YEE)";"0.012232
USD"
"Auroracoin
(AUR)";"0.368747
USD"
"Iconomi
(ICN)";"0.543584
USD"
"Propy
(PRO)";"0.493563
USD"
"Merculet
(MVP)";"0.009909
USD"
"Republic Protocol
(REN)";"0.035200
USD"
"Silent Notary
(SNTR)";"0.000095
USD"
"Polybius
(PLBT)";"3.15
USD"
"Kore
(KORE)";"1.36
USD"
"Zippie
(ZIPT)";"0.015969
USD"
"Sharpe Platform Token
(SHP)";"0.151282
USD"
"Banyan Network
(BBN)";"0.024816
USD"
"Datawallet
(DXT)";"0.021652
USD"
"VeriCoin
(VRC)";"0.279092
USD"
"eosDAC
(EOSDAC)";"0.049050
USD"
"Publica
(PBL)";"0.118633
USD"
"Radium
(RADS)";"2.26
USD"
"Indorse Token
(IND)";"0.063256
USD"
"CashBet Coin
(CBC)";"0.125471
USD"
"Vice Industry Token
(VIT)";"0.010759
USD"
"Ignis
(IGNIS)";"0.056868
USD"
"Bullion
(CBX)";"2.04
USD"
"ATLANT
(ATL)";"0.053588
USD"
"Steem
(STEEM)";"1.30
USD"
"Edgeless
(EDG)";"0.303754
USD"
"Everex
(EVX)";"0.620805
USD"
"Cardano
(ADA)";"0.134514
USD"
"Ethereum
(ETH)";"433.49
USD"
"HEROcoin
(PLAY)";"0.013856
USD"
"Aditus
(ADI)";"0.007758
USD"
"Bulwark
(BWK)";"0.802980
USD"
"SpankChain
(SPANK)";"0.073760
USD"
"NeosCoin
(NEOS)";"1.60
USD"
"Mixin
(XIN)";"538.93
USD"
"AMLT
(AMLT)";"0.017855
USD"
"Friendz
(FDZ)";"0.011420
USD"
"CVCoin
(CVCOIN)";"0.677013
USD"
"Forty Seven Bank
(FSBT)";"0.383110
USD"
"AppCoins
(APPC)";"0.185115
USD"
"MUSE
(MUSE)";"0.363450
USD"
"Sprouts
(SPRTS)";"3.6e-07
USD"
"CRYPTO20
(C20)";"0.877330
USD"
"Nxt
(NXT)";"0.081092
USD"
"Sugar Exchange
(SGR)";"0.062386
USD"
"VIBE
(VIBE)";"0.070068
USD"
"Bitcore
(BTX)";"1.54
USD"
"MicroMoney
(AMM)";"0.098363
USD"
"Fidelium
(FID)";"0.043093
USD"
"Apex
(CPX)";"0.063232
USD"
"Curecoin
(CURE)";"0.202205
USD"
"SIRIN LABS Token
(SRN)";"0.163396
USD"
"Graft
(GRFT)";"0.014711
USD"
"Humaniq
(HMQ)";"0.058769
USD"
"Patientory
(PTOY)";"0.058033
USD"
"Hat.Exchange
(HAT)";"0.717242
USD"
"XinFin Network
(XDCE)";"0.003592
USD"
"AirToken
(AIR)";"0.004077
USD"
"Ark
(ARK)";"1.24
USD"
"PACcoin
($PAC)";"0.003808
USD"
"ClearPoll
(POLL)";"0.561115
USD"
"SmartMesh
(SMT)";"0.032833
USD"
"Credits
(CS)";"0.285110
USD"
"Stakenet
(XSN)";"0.369262
USD"
"Dash
(DASH)";"219.80
USD"
"Ontology
(ONT)";"3.33
USD"
"Qtum
(QTUM)";"7.53
USD"
"XPA
(XPA)";"0.065180
USD"
"Bodhi
(BOT)";"0.218697
USD"
"Delphy
(DPY)";"0.487575
USD"
"Modum
(MOD)";"0.942686
USD"
"Nexus
(NXS)";"1.31
USD"
"HEAT
(HEAT)";"0.101298
USD"
"Ink Protocol
(XNK)";"0.019004
USD"
"Hshare
(HSR)";"4.70
USD"
"Triggers
(TRIG)";"0.350395
USD"
"Blox
(CDT)";"0.022312
USD"
"QASH
(QASH)";"0.259596
USD"
"Bitcoin Private
(BTCP)";"7.78
USD"
"ToaCoin
(TOA)";"0.001237
USD"
"MARK.SPACE
(MRK)";"0.037192
USD"
"BitcoinDark
(BTCD)";"41.70
USD"
"Blocknet
(BLOCK)";"11.10
USD"
"Dropil
(DROP)";"0.005271
USD"
"TomoChain
(TOMO)";"0.361563
USD"
"Olympus Labs
(MOT)";"0.260489
USD"
"Bitcoin Green
(BITG)";"2.28
USD"
"Sentinel
(SENT)";"0.006208
USD"
"Spectiv
(SIG)";"0.009175
USD"
"BitStation
(BSTN)";"0.000790
USD"
"Devery
(EVE)";"0.046473
USD"
"Neutron
(NTRN)";"0.053513
USD"
"Dynamic
(DYN)";"1.23
USD"
